"Category_ID","FirstCategory","SecondCategory"
"1","Buffet style","Cafe"
"2","Bistro","Steak"
"3","Izakaya (Tavern)","Japanese food (other)"
"4","Okonomiyaki","Izakaya (Tavern)"
"5","Chinese hot pot / fire pot","Chinese"
"6","Bar","Italian"
"7","Italian","Bar"
"8","Izakaya (Tavern)","Creative cuisine"
"9","Izakaya (Tavern)","Bar"
"10","Izakaya (Tavern)","Kyoto Cuisine"
"11","French","Italian"
"12","Italian","French"
"13","Shabu Shabu (Japanese Steamboat)","Fugu (Blowfish)"
"14","Italian","Dining bar"
"15","Sukiyaki","Yakitori (Grilled chicken)"
"16","Izakaya (Tavern)","Nihonshu (Japanese sake)"
"17","Bar","Izakaya (Tavern)"
"18","Izakaya (Tavern)","Seafood"
"19","Spain","Izakaya (Tavern)"
"20","Bistro","Italian"
"21","Yakitori (Grilled chicken)","Fowl"
"22","Pork Shabu Shabu","Shabu Shabu (Japanese Steamboat)"
"23","Izakaya (Tavern)","Yakitori (Grilled chicken)"
"24","Italian","Western Cuisine"
"25","Tempura","Seafood"
"26","Izakaya (Tavern)","Chinese"
"27","Yakitori (Grilled chicken)","Kyoto Cuisine"
"28","Yakiniku (BBQ Beef)","Sukiyaki"
"29","Izakaya (Tavern)","Dining bar"
"30","Teppanyaki","Steak"
"31","Bar","Bistro"
"32","Yakiniku (BBQ Beef)","Horumon (BBQ Offel)"
"33","Kappo (Traditional Japanese)","Steak"
"34","Bistro","Bar"
"35","Italian","Pasta"
"36","Izakaya (Tavern)","Kappo (Traditional Japanese)"
"37","Tempura","Kaiseki (Traditional Japanese)"
"38","Italian","Pizza"
"39","Okinawan Cuisine","Izakaya (Tavern)"
"40","Yakiniku (BBQ Beef)","Shabu Shabu (Japanese Steamboat)"
"41","Teppanyaki","Kyoto Cuisine"
"42","Yakitori (Grilled chicken)","Izakaya (Tavern)"
"43","Dining bar","Steak"
"44","Creative cuisine","Izakaya (Tavern)"
"45","Yakiniku (BBQ Beef)","Korean cuisine"
"46","Kaiseki (Traditional Japanese)","Kyoto Cuisine"
"47","Izakaya (Tavern)","Sukiyaki"
"48","Chinese","Dim sum"
"49","Kyoto Cuisine","Kaiseki (Traditional Japanese)"
"50","Bar","Sumibiyaki"
"51","French","Restaurants (other)"
"52","Tempura","Ten-don (Tempura Bowl)"
"53","Izakaya (Tavern)","Kushi-age (Fried Skewer)"
"54","Yakiniku (BBQ Beef)","Bar"
"55","Teppanyaki","Izakaya (Tavern)"
"56","Italian","Spain"
"57","Spain","Italian"
"58","Steak","Sushi"
