"Hotel_ID","Type_ID"
"1","13"
"1","18"
"1","8"
"2","19"
"2","26"
"2","13"
"2","18"
"2","8"
"3","13"
"3","18"
"3","8"
"4","13"
"4","18"
"4","8"
"5","13"
"5","18"
"5","8"
"6","13"
"6","18"
"6","8"
"7","13"
"7","18"
"7","8"
"8","13"
"8","18"
"8","8"
"9","13"
"9","18"
"9","8"
"10","13"
"10","18"
"10","8"
"11","13"
"11","18"
"11","8"
"12","13"
"12","18"
"12","8"
"13","13"
"13","18"
"13","8"
"14","13"
"14","18"
"14","8"
"15","13"
"15","18"
"15","8"
"16","13"
"16","18"
"16","8"
"17","13"
"17","18"
"17","8"
"18","13"
"18","18"
"18","8"
"19","13"
"19","18"
"19","8"
"20","13"
"20","18"
"20","8"
"21","13"
"21","18"
"21","8"
"22","13"
"22","18"
"22","8"
"23","13"
"23","18"
"23","8"
"24","13"
"24","18"
"24","8"
"25","13"
"25","18"
"25","8"
"26","13"
"26","18"
"26","8"
"27","13"
"27","18"
"27","8"
"28","13"
"28","18"
"28","8"
"29","13"
"29","18"
"29","8"
"30","13"
"30","18"
"30","8"
"31","13"
"31","18"
"31","8"
"32","13"
"32","18"
"32","8"
"33","13"
"33","18"
"33","8"
"34","13"
"34","18"
"34","8"
"35","13"
"35","18"
"35","8"
"36","13"
"36","18"
"36","8"
"37","13"
"37","18"
"37","8"
"38","13"
"38","18"
"38","8"
"39","13"
"39","18"
"39","8"
"40","13"
"40","18"
"40","8"
"41","13"
"41","18"
"41","8"
"42","13"
"42","18"
"42","8"
"43","13"
"43","18"
"43","8"
"44","13"
"44","18"
"44","8"
"45","13"
"45","18"
"45","8"
"46","13"
"46","18"
"46","8"
"47","13"
"47","18"
"47","8"
"48","13"
"48","18"
"48","8"
"49","13"
"49","18"
"49","8"
"50","13"
"50","18"
"50","8"
"51","13"
"51","18"
"51","8"
"52","13"
"52","18"
"52","8"
"53","13"
"53","18"
"53","8"
"54","13"
"54","18"
"54","8"
"55","13"
"55","18"
"55","8"
"56","13"
"56","20"
"56","9"
"56","18"
"56","8"
"57","13"
"57","18"
"57","8"
"58","13"
"58","18"
"58","8"
"59","13"
"59","18"
"59","8"
"60","13"
"60","18"
"60","8"
"61","13"
"61","18"
"61","8"
"62","13"
"62","18"
"62","8"
"63","13"
"63","18"
"63","8"
"64","13"
"64","18"
"64","8"
"65","13"
"65","18"
"65","8"
"66","13"
"66","18"
"66","8"
"67","13"
"67","18"
"67","8"
"68","13"
"68","18"
"68","8"
"69","13"
"69","18"
"69","8"
"70","13"
"70","18"
"70","8"
"71","13"
"71","18"
"71","8"
"72","13"
"72","18"
"72","8"
"73","13"
"73","18"
"73","8"
"74","13"
"74","18"
"74","8"
"75","13"
"75","18"
"75","8"
"76","13"
"76","18"
"76","8"
"77","13"
"77","18"
"77","8"
"78","13"
"78","18"
"78","8"
"79","13"
"79","18"
"79","8"
"80","13"
"80","18"
"80","8"
"81","13"
"81","20"
"81","18"
"81","9"
"81","8"
"82","13"
"82","18"
"82","8"
"83","13"
"83","18"
"83","8"
"84","13"
"84","18"
"84","8"
"85","5"
"85","13"
"85","20"
"85","18"
"85","9"
"85","8"
"86","13"
"86","18"
"86","8"
"87","13"
"87","18"
"87","8"
"88","13"
"88","18"
"88","8"
"89","13"
"89","18"
"89","8"
"90","13"
"90","20"
"90","18"
"90","9"
"90","8"
"91","13"
"91","18"
"91","8"
"92","13"
"92","18"
"92","8"
"93","13"
"93","18"
"93","8"
"94","5"
"94","13"
"94","20"
"94","18"
"94","9"
"94","8"
"95","13"
"95","18"
"95","8"
"96","13"
"96","18"
"96","8"
"97","13"
"97","18"
"97","8"
"98","3"
"98","13"
"98","20"
"98","9"
"98","18"
"98","8"
"99","13"
"99","18"
"99","8"
"100","13"
"100","18"
"100","8"
"101","13"
"101","18"
"101","8"
"102","13"
"102","18"
"102","8"
"103","13"
"103","18"
"103","8"
"104","5"
"104","13"
"104","9"
"104","18"
"104","8"
"105","13"
"105","18"
"105","8"
"106","13"
"106","18"
"106","8"
"107","13"
"107","18"
"107","8"
"108","13"
"108","18"
"108","8"
"109","13"
"109","18"
"109","8"
"110","13"
"110","18"
"110","8"
"111","13"
"111","18"
"111","8"
"112","13"
"112","18"
"112","8"
"113","13"
"113","18"
"113","8"
"114","13"
"114","18"
"114","8"
"115","13"
"115","18"
"115","8"
"116","13"
"116","18"
"116","8"
"117","13"
"117","18"
"117","8"
"118","13"
"118","18"
"118","8"
"119","13"
"119","18"
"119","8"
"120","13"
"120","18"
"120","8"
"121","13"
"121","18"
"121","8"
"122","13"
"122","18"
"122","8"
"123","13"
"123","18"
"123","8"
"124","13"
"124","18"
"124","8"
"125","13"
"125","18"
"125","8"
"126","13"
"126","18"
"126","8"
"127","13"
"127","18"
"127","8"
"128","13"
"128","18"
"128","8"
"129","13"
"129","18"
"129","8"
"130","13"
"130","18"
"130","8"
"131","13"
"131","18"
"131","8"
"132","13"
"132","18"
"132","8"
"133","13"
"133","18"
"133","8"
"134","13"
"134","18"
"134","8"
"135","13"
"135","18"
"135","8"
"136","13"
"136","18"
"136","8"
"137","13"
"137","18"
"137","8"
"138","13"
"138","18"
"138","8"
"139","13"
"139","18"
"139","8"
"140","13"
"140","18"
"140","8"
"141","13"
"141","18"
"141","8"
"142","13"
"142","18"
"142","8"
"143","13"
"143","18"
"143","8"
"144","13"
"144","18"
"144","8"
"145","13"
"145","18"
"145","8"
"146","13"
"146","18"
"146","8"
"147","13"
"147","18"
"147","8"
"148","13"
"148","18"
"148","8"
"149","13"
"149","18"
"149","8"
"150","13"
"150","18"
"150","8"
"151","13"
"151","18"
"151","8"
"152","13"
"152","18"
"152","8"
"153","13"
"153","18"
"153","8"
"154","13"
"154","18"
"154","8"
"155","13"
"155","18"
"155","8"
"156","13"
"156","18"
"156","8"
"157","13"
"157","18"
"157","8"
"158","13"
"158","18"
"158","8"
"159","13"
"159","18"
"159","8"
"160","19"
"160","13"
"160","26"
"160","18"
"160","8"
"161","13"
"161","18"
"161","8"
"162","13"
"162","18"
"162","8"
"163","13"
"163","18"
"163","8"
"164","13"
"164","18"
"164","8"
"165","13"
"165","18"
"165","8"
"166","13"
"166","18"
"166","8"
"167","13"
"167","18"
"167","8"
"168","13"
"168","18"
"168","8"
"169","13"
"169","18"
"169","8"
"170","13"
"170","18"
"170","8"
"171","13"
"171","18"
"171","8"
"172","13"
"172","18"
"172","8"
"173","13"
"173","18"
"173","8"
"174","13"
"174","18"
"174","8"
"175","13"
"175","18"
"175","8"
"176","13"
"176","18"
"176","8"
"177","13"
"177","18"
"177","8"
"178","13"
"178","18"
"178","8"
"179","13"
"179","18"
"179","8"
"180","13"
"180","18"
"180","8"
"181","13"
"181","18"
"181","8"
"182","13"
"182","18"
"182","8"
"183","13"
"183","18"
"183","8"
"184","13"
"184","18"
"184","8"
