"Hotel_ID","HotelName","Address","Rating","UserRatingsTotal","Lat","Long","Place_ID"
"1","町家 東寺あけぼの庵","京都市南区八条内田町２−１","4.8","15.0","34.9795965","135.7455845","ChIJx_JJOAQGAWARzm1G-Hxo4qE"
"2","京庵 東寺 紫音 -SHION-","京都市南区四ツ塚町３２−１","4.3","4.0","34.9794241","135.7437079","ChIJt6DZNwQGAWARugs9DEiyn-0"
"3","梟月庵","京都市南区吉祥院九条町４４−７","4.4","7.0","34.977673","135.73392","ChIJ91aCWA0GAWARDxAF9_MnqxI"
"4","京の宿西大路","京都市下京区七条御所ノ内北町４７−１","4.4","16.0","34.9866913","135.7302544","ChIJYW6er0EGAWARdYIoWsHheZU"
"5","ゲストハウス 古都音 京都","京都市右京区西京極芝ノ下町１０−１","4.6","19.0","34.98613879999999","135.7185774","ChIJBTm_eFkGAWARWeULCxqg-qk"
"6","Kyoto HomeStay","京都市南区吉祥院九条町１６ パインフィールド吉祥院","5.0","1.0","34.9782215","135.7324456","ChIJ__9POG0GAWARJF6ffwVnslU"
"7","FUNHOUSE_桂川","京都市南区久世川原町２００−２０","4.6","20.0","34.9626647","135.7198445","ChIJh_Xvo3gGAWARA1w5_K_mgys"
"8","ペンション恋都","京都市南区久世川原町１３２","4.6","58.0","34.963213","135.7210427","ChIJ8--ChngGAWAR6N-176pP-OU"
"9","たばさはうす","京都市南区吉祥院西浦町４９−２","","","34.9736737","135.7297408","ChIJY97baQMHAWARPaSa5f6wnr8"
"10","サトリーノ","京都市南区吉祥院里ノ内町３４ サトリーノ","","","34.9735355","135.7320893","ChIJJ9SaP3MGAWARbFR2biPqwhg"
"11","sanjyusan","88-2kishoyinnshindenninodancho minamiku, 京都市","","","34.9749285","135.7242685","ChIJuxNV3Q4HAWARr9KXWee5q1g"
"12","九条町ゲストハウス Kujyo-Cho Guesthouse","京都市南区吉祥院九条町55番地","4.5","2.0","34.9774067","135.7337992","ChIJ1bbZBcIHAWAROPDA4-0oLC0"
"13","ドルフ21","Japan","","","34.9648458","135.7338475","ChIJp8V2sOAFAWARWsn4zA6m7AY"
"14","ゲストハウス山本","京都市南区吉祥院定成町１８−５","5.0","4.0","34.97749949999999","135.7362479","ChIJcabGxcwHAWARTLxGEby8ptU"
"15","大日寺の宿 京都吉祥院","京都市南区吉祥院稲葉町１０","4.5","33.0","34.9693179","135.7388612","ChIJo8ctGTIFAWARoDUvbqU-0qU"
"16","花楓舎Sakura&maple Guest House","京都市南区唐橋川久保町３０−４ 喫茶みのわ","5.0","1.0","34.9783817","135.7363034","ChIJqZ5GZBIHAWARIffI21GRao0"
"17","Jpreserve","京都市南区唐橋南琵琶町６−３５","","","34.975979","135.7385113","ChIJ3bDIug4GAWARmXpMM0fy5Co"
"18","寧寧の道(Nenenomichi)","京都市南区唐橋堂ノ前町１２ 12番地4","","","34.97820139999999","135.7376748","ChIJ57PV8gUHAWARC2ivNs9yqzw"
"19","ノワール東寺INN","京都市南区唐橋堂ノ前町２７−１０","","","34.9788233","135.7374504","ChIJzWb0KQAHAWAR6oqN-vNTksE"
"20","FTstandard","京都市南区上鳥羽北中ノ坪町５−２","","","34.96984630000001","135.7408737","ChIJCf7O4uIFAWARHG3Woq9CIpo"
"21","株式会社MATATABI 京都事業所","京都市南区吉祥院宮ノ東町１８−２","","","34.9821451","135.7232832","ChIJ03KPF88HAWARg0M1ktsBr4Y"
"22","Nishioji TANUKI 西大路 狸","京都市南区吉祥院西ノ庄門口町","5.0","2.0","34.9828651","135.7305727","ChIJE513PDQHAWARKKidBRnPYR0"
"23","西大路梟","京都市南区吉祥院西ノ庄門口町２","5.0","2.0","34.98287859999999","135.7305036","ChIJSWwPUwAHAWARtp1D8fA_XIQ"
"24","Nishioji Kado","京都市南区吉祥院西ノ庄門口町２","3.0","1.0","34.9828893","135.7306905","ChIJv4GurGsGAWAR5pisX0G-P0g"
"25","coco wa house","京都市西京区下津林中島町１−４２３","5.0","1.0","34.9693951","135.7142156","ChIJxzPYHsQHAWARzaI0bK1QzhE"
"26","Guesthouse Nina","京都市南区久世上久世町８０５−２２","4.5","10.0","34.9633168","135.7179783","ChIJz-KEhccHAWARUv50-Rwph9c"
"27","Sakura House Kyoto( near Katsuragawa station)","京都市南区久世上久世町２８３−３","","","34.9655694","135.715267","ChIJl6zGXQAHAWARD1KZTsavJs0"
"28","リラソゲストハウス","京都市南区唐橋門脇町４−１","4.6","57.0","34.9819467","135.7365802","ChIJearUuBMGAWARvb0TKGmvLqE"
"29","Funhouse 蘭","京都市南区久世大藪町28‐30","3.6","11.0","34.9611711","135.7191539","ChIJcd1KehkFAWAR-c1Y9QICl-E"
"30","桂川ハウス希 House Nozomi","京都市南区久世大藪町５−８","4.7","10.0","34.9617766","135.7181771","ChIJUeB7vyAHAWART16ICmrNGV8"
"31","京都南","京都市南区","","","34.9608758","135.7366854","ChIJ60p6AwAFAWAR_ZRcKisK7yk"
"32","-鳴間の宿 Narumanoyado- Kyoto Aquarium-MUS","京都市南区唐橋門脇町１１−８","","","34.98252679999999","135.7366822","ChIJGaO8GwAHAWARUI2U7WGXwSY"
