HotelName,Address,Rating,UserRatingsTotal,Types,Lat,Lng,Place_ID
町家 東寺あけぼの庵,京都市南区八条内田町２−１,4.8,15,"lodging, point_of_interest, establishment",34.9795965,135.7455845,ChIJx_JJOAQGAWARzm1G-Hxo4qE
京庵 東寺 紫音 -SHION-,京都市南区四ツ塚町３２−１,4.3,4,"real_estate_agency, travel_agency, lodging, point_of_interest, establishment",34.9794241,135.7437079,ChIJt6DZNwQGAWARugs9DEiyn-0
梟月庵,京都市南区吉祥院九条町４４−７,4.4,7,"lodging, point_of_interest, establishment",34.977673,135.73392,ChIJ91aCWA0GAWARDxAF9_MnqxI
京の宿西大路,京都市下京区七条御所ノ内北町４７−１,4.4,16,"lodging, point_of_interest, establishment",34.9866913,135.7302544,ChIJYW6er0EGAWARdYIoWsHheZU
ゲストハウス 古都音 京都,京都市右京区西京極芝ノ下町１０−１,4.6,19,"lodging, point_of_interest, establishment",34.98613879999999,135.7185774,ChIJBTm_eFkGAWARWeULCxqg-qk
Kyoto HomeStay,京都市南区吉祥院九条町１６ パインフィールド吉祥院,5,1,"lodging, point_of_interest, establishment",34.9782215,135.7324456,ChIJ__9POG0GAWARJF6ffwVnslU
FUNHOUSE_桂川,京都市南区久世川原町２００−２０,4.6,20,"lodging, point_of_interest, establishment",34.9626647,135.7198445,ChIJh_Xvo3gGAWARA1w5_K_mgys
ペンション恋都,京都市南区久世川原町１３２,4.6,58,"lodging, point_of_interest, establishment",34.963213,135.7210427,ChIJ8--ChngGAWAR6N-176pP-OU
たばさはうす,京都市南区吉祥院西浦町４９−２,,,"lodging, point_of_interest, establishment",34.9736737,135.7297408,ChIJY97baQMHAWARPaSa5f6wnr8
サトリーノ,京都市南区吉祥院里ノ内町３４ サトリーノ,,,"lodging, point_of_interest, establishment",34.9735355,135.7320893,ChIJJ9SaP3MGAWARbFR2biPqwhg
sanjyusan,"88-2kishoyinnshindenninodancho minamiku, 京都市",,,"lodging, point_of_interest, establishment",34.9749285,135.7242685,ChIJuxNV3Q4HAWARr9KXWee5q1g
九条町ゲストハウス Kujyo-Cho Guesthouse,京都市南区吉祥院九条町55番地,4.5,2,"lodging, point_of_interest, establishment",34.9774067,135.7337992,ChIJ1bbZBcIHAWAROPDA4-0oLC0
ドルフ21,Japan,,,"lodging, point_of_interest, establishment",34.9648458,135.7338475,ChIJp8V2sOAFAWARWsn4zA6m7AY
ゲストハウス山本,京都市南区吉祥院定成町１８−５,5,4,"lodging, point_of_interest, establishment",34.97749949999999,135.7362479,ChIJcabGxcwHAWARTLxGEby8ptU
大日寺の宿 京都吉祥院,京都市南区吉祥院稲葉町１０,4.5,33,"lodging, point_of_interest, establishment",34.9693179,135.7388612,ChIJo8ctGTIFAWARoDUvbqU-0qU
花楓舎Sakura&maple Guest House,京都市南区唐橋川久保町３０−４ 喫茶みのわ,5,1,"lodging, point_of_interest, establishment",34.9783817,135.7363034,ChIJqZ5GZBIHAWARIffI21GRao0
Jpreserve,京都市南区唐橋南琵琶町６−３５,,,"lodging, point_of_interest, establishment",34.975979,135.7385113,ChIJ3bDIug4GAWARmXpMM0fy5Co
寧寧の道(Nenenomichi),京都市南区唐橋堂ノ前町１２ 12番地4,,,"lodging, point_of_interest, establishment",34.97820139999999,135.7376748,ChIJ57PV8gUHAWARC2ivNs9yqzw
ノワール東寺INN,京都市南区唐橋堂ノ前町２７−１０,,,"lodging, point_of_interest, establishment",34.9788233,135.7374504,ChIJzWb0KQAHAWAR6oqN-vNTksE
FTstandard,京都市南区上鳥羽北中ノ坪町５−２,,,"lodging, point_of_interest, establishment",34.96984630000001,135.7408737,ChIJCf7O4uIFAWARHG3Woq9CIpo
株式会社MATATABI 京都事業所,京都市南区吉祥院宮ノ東町１８−２,,,"lodging, point_of_interest, establishment",34.9821451,135.7232832,ChIJ03KPF88HAWARg0M1ktsBr4Y
Nishioji TANUKI 西大路 狸,京都市南区吉祥院西ノ庄門口町,5,2,"lodging, point_of_interest, establishment",34.9828651,135.7305727,ChIJE513PDQHAWARKKidBRnPYR0
西大路梟,京都市南区吉祥院西ノ庄門口町２,5,2,"lodging, point_of_interest, establishment",34.98287859999999,135.7305036,ChIJSWwPUwAHAWARtp1D8fA_XIQ
Nishioji Kado,京都市南区吉祥院西ノ庄門口町２,3,1,"lodging, point_of_interest, establishment",34.9828893,135.7306905,ChIJv4GurGsGAWAR5pisX0G-P0g
coco wa house,京都市西京区下津林中島町１−４２３,5,1,"lodging, point_of_interest, establishment",34.9693951,135.7142156,ChIJxzPYHsQHAWARzaI0bK1QzhE
Guesthouse Nina,京都市南区久世上久世町８０５−２２,4.5,10,"lodging, point_of_interest, establishment",34.9633168,135.7179783,ChIJz-KEhccHAWARUv50-Rwph9c
