Restaurant_ID,Name,JapaneseName,Station,FirstCategory,SecondCategory,TotalRating,Lat,Long,DinnerPrice,LunchPrice,Price_Category
1,Orudeidainingurajou  ,オールデイダイニング　ラジョウ,Kyoto,Buffet style,Cafe,3.466666666666667,34.9861751483108,135.761313932311,￥4000～￥4999,￥2000～￥2999,中價位
2,Steak Frites Gaspard zinzin  ,ステックフリット ガスパール ザンザン,Karasuma,Bistro,Steak,3.533333333333333,35.0058257987896,135.759856759688,￥3000～￥3999,￥1000～￥1999,中價位
3,KAZUMA  ,和馬,Sanjo,Izakaya (Tavern),Japanese food (other),3.6,35.0065825659963,135.770246695295,￥3000～￥3999,,中價位
4,okonomiyakiteppanyakimiki  ,お好み焼き 鉄板焼き 三喜,Tambaguchi,Okonomiyaki,Izakaya (Tavern),3.6,34.9959244331732,135.748266511467,￥3000～￥3999,,中價位
5,Shaofeiyan  ,小肥羊 京都河原町店,Kyoto Shiyakusho Mae,Chinese hot pot / fire pot,Chinese,3.5,35.00790072262,135.768201804433,￥4000～￥4999,￥1000～￥1999,中價位
6,okuta-va  ,OCTAVAR,Kyoto,Bar,Italian,3.566666666666667,34.9834970882448,135.760559396056,￥4000～￥4999,￥1000～￥1999,中價位
7,Resort dining&bar HaLe  ,Resort dining&bar HaLe 河原町店,Sanjo,Italian,Bar,3.633333333333333,35.0071947091437,135.769468120661,￥3000～￥3999,￥1000～￥1999,中價位
8,Sumika  ,棲家,Kawaramachi,Izakaya (Tavern),Creative cuisine,3.433333333333333,35.0047040863454,135.770182117381,￥3000～￥3999,,中價位
9,Gayagaya  ,我家我家,Sanjo,Izakaya (Tavern),Bar,3.333333333333333,35.0071741645137,135.76996780233,￥3000～￥3999,,中價位
10,Ishibekoujimamecha  ,石塀小路 豆ちゃ 京都,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,4.0,35.0008130609394,135.779155387735,￥4000～￥4999,,中價位
11,nagoyako-chintokoshitsuizakayatorisai  ,名古屋コーチンと個室居酒屋 鶏彩 河原町店,Sanjo,Izakaya (Tavern),Japanese food (other),3.6,35.0073957953599,135.769274238615,￥3000～￥3999,,中價位
12,Gionabesu  ,祇園 Abbesses,Gion Shijo,French,Italian,4.066666666666666,35.0019536965639,135.774821250723,￥8000～￥9999,￥6000～￥7999,高價位
13,nishikimachinoakarishoutengai  ,錦 街の灯り商店街,Karasuma,Izakaya (Tavern),Bar,3.466666666666667,35.0051631289148,135.76197633639,￥2000～￥2999,￥2000～￥2999,中價位
14,gionni-yongo  ,祗園245,Sanjo Keihan,Italian,French,4.433333333333334,35.0063010233471,135.775622650675,￥10000～￥14999,￥6000～￥7999,高價位
15,Mumon  ,無門 三条室町店,Karasuma Oike,Shabu Shabu (Japanese Steamboat),Fugu (Blowfish),3.533333333333333,35.0093348325975,135.757835377113,￥5000～￥5999, ～￥999,中價位
16,itariandainingutoreotto  ,イタリアンダイニングTREOTTO 西院店,Saiin,Italian,Dining bar,3.466666666666667,35.0037285790702,135.731255064949,￥3000～￥3999,,中價位
17,Sukiyakisunibiizakayahokuto  ,すき焼き炭火居酒屋 北斗,Kyoto,Sukiyaki,Yakitori (Grilled chicken),3.466666666666667,34.9890645141595,135.758604579846,￥3000～￥3999,,中價位
18,Sakaean  ,さかえ庵,Karasuma,Izakaya (Tavern),Nihonshu (Japanese sake),3.7,35.0046837389483,135.762414099884,￥2000～￥2999, ～￥999,平價
19,biakicchinnikubarujikabiyajikabiya  ,ビアキッチン肉バル ジカビヤ 京都河原町店,Kawaramachi,Bar,Izakaya (Tavern),3.333333333333333,35.0062692440335,135.768979037223,￥3000～￥3999,￥1000～￥1999,中價位
20,ANAGOYA NORESORE  ,穴子家 NORESORE 京都本店,Nijojo Mae,Izakaya (Tavern),Seafood,4.366666666666666,35.0125846891279,135.753619466503,￥5000～￥5999,￥2000～￥2999,中價位
21,bejo-tamucho  ,ベジョータ ムチョ 室町店,Shijo,Spain,Izakaya (Tavern),3.3666666666666667,35.0013862396802,135.757912125595,￥3000～￥3999,,中價位
22,TENTATION  ,タンタシオン,Sanjo,Bistro,Italian,3.6,35.009557804073,135.770289888056,￥4000～￥4999,,中價位
