ID,Place_ID,Name,Rating,UserRatingsTotal,Type,PriceLevel,Lat,Lng,Address
1,ChIJIW0uPRUPAWAR6eI6dRzKGns,Fushimi Inari Taisha,4.6,83344,Place Of Worship,,34.9676945,135.7791876,"68 Fukakusa Yabunouchicho, Fushimi Ward, Kyoto, 612-0882, Japan"
2,ChIJTar7hQQGAWAREHkXsNkt7tM,To-ji Temple,4.5,18348,Place Of Worship,,34.9803395,135.7476935,"1 Kujocho, Minami Ward, Kyoto, 601-8473, Japan"
3,ChIJB_vchdMIAWARujTEUIZlr2I,Kiyomizu-dera,4.6,65067,Place Of Worship,,34.9946662,135.784661,"1 Chome-294 Kiyomizu, Higashiyama Ward, Kyoto, 605-0862, Japan"
4,ChIJC5srCtQHAWARLy9qkFmHaxA,Nijō Castle,4.4,40134,Tourist Attraction,,35.0140379,135.7484258,"541 Nijojocho, Nakagyo Ward, Kyoto, 604-8301, Japan"
5,ChIJvUbrwCCoAWARX2QiHCsn5A4,Kinkaku-ji,4.5,64248,Place Of Worship,,35.03937,135.7292431,"1 Kinkakujicho, Kita Ward, Kyoto, 603-8361, Japan"
6,ChIJ4W9CCwUJAWARyauI6BzKiiU,Ginkaku-ji,4.5,16279,Place Of Worship,,35.0270213,135.7982058,"2 Ginkakujicho, Sakyo Ward, Kyoto, 606-8402, Japan"
7,ChIJp7ocMCqoAWARQoXXRj4Xq-E,Ryōan-ji,4.5,10623,Place Of Worship,,35.0344943,135.7182634,"13 Ryoanji Goryonoshitacho, Ukyo Ward, Kyoto, 616-8001, Japan"
8,ChIJJ3srJMEIAWARUrvFhhmPYH4,Kennin-ji Temple,4.5,8952,Place Of Worship,,35.0000363,135.7735632,"Japan, 〒605-0811 Kyoto, Higashiyama Ward, Komatsucho, ５８４番地"
9,ChIJqyva4AwRAWARpAf6j5MUhGA,Byōdo-in Temple,4.5,20985,Place Of Worship,,34.8892908,135.8076783,"Renge-116 Uji, Kyoto 611-0021, Japan"
10,ChIJTQ1m18cJAWAR4qoAaylinnI,Shugakuin Imperial Villa,4.5,1379,Park,,35.0537568,135.8003498,"1-5 Shugakuin Yabusoe, Sakyo Ward, Kyoto, 606-8052, Japan"
11,ChIJBemVXAAJAWARhkbj_PO6IHw,Kyoto Imperial Palace,4.5,1080,Point Of Interest,,35.0240977,135.7621436,"内 Kyotogyoen, Kamigyo Ward, Kyoto, 602-0811, Japan"
12,ChIJjch8GOUIAWART0WX2JLZvnU,Heian-jingū Shrine,4.4,15218,Place Of Worship,,35.0159823,135.7824263,"97 Okazaki Nishitennocho, Sakyo Ward, Kyoto, 606-8341, Japan"
