"Restaurant_ID","DinnerPrice","LunchPrice","Price_Category"
"1","￥4000～￥4999","￥2000～￥2999","中價位"
"2","￥3000～￥3999","￥1000～￥1999","中價位"
"3","￥3000～￥3999","","中價位"
"4","￥3000～￥3999","","中價位"
"5","￥4000～￥4999","￥1000～￥1999","中價位"
"6","￥4000～￥4999","￥1000～￥1999","中價位"
"7","￥3000～￥3999","￥1000～￥1999","中價位"
"8","￥3000～￥3999","","中價位"
"9","￥3000～￥3999","","中價位"
"10","￥4000～￥4999","","中價位"
"11","￥3000～￥3999","","中價位"
"12","￥8000～￥9999","￥6000～￥7999","高價位"
"13","￥2000～￥2999","￥2000～￥2999","中價位"
"14","￥10000～￥14999","￥6000～￥7999","高價位"
"15","￥5000～￥5999"," ～￥999","中價位"
"16","￥3000～￥3999","","中價位"
"17","￥3000～￥3999","","中價位"
"18","￥2000～￥2999"," ～￥999","平價"
"19","￥3000～￥3999","￥1000～￥1999","中價位"
"20","￥5000～￥5999","￥2000～￥2999","中價位"
"21","￥3000～￥3999","","中價位"
"22","￥4000～￥4999","","中價位"
"23","￥3000～￥3999","","中價位"
"24","￥8000～￥9999","￥2000～￥2999","高價位"
"25","￥4000～￥4999","","中價位"
"26","￥3000～￥3999"," ～￥999","中價位"
"27","￥5000～￥5999","￥1000～￥1999","中價位"
"28","￥3000～￥3999","","中價位"
"29","￥3000～￥3999","￥1000～￥1999","中價位"
"30","￥3000～￥3999","","中價位"
"31","￥5000～￥5999"," ～￥999","中價位"
"32","￥2000～￥2999","","中價位"
"33","￥5000～￥5999","","高價位"
"34","￥3000～￥3999","","中價位"
"35","￥3000～￥3999","￥1000～￥1999","中價位"
"36","￥5000～￥5999","","高價位"
"37","￥4000～￥4999","","中價位"
"38","￥3000～￥3999","￥2000～￥2999","中價位"
"39","￥6000～￥7999","￥2000～￥2999","中價位"
"40","￥3000～￥3999","","中價位"
"41","￥4000～￥4999","","中價位"
"42","￥4000～￥4999","￥1000～￥1999","中價位"
"43","￥10000～￥14999","￥5000～￥5999","高價位"
"44","￥4000～￥4999","","中價位"
"45","￥5000～￥5999"," ～￥999","中價位"
"46","￥4000～￥4999","￥1000～￥1999","中價位"
"47","￥3000～￥3999","","中價位"
"48","￥3000～￥3999","","中價位"
"49","￥3000～￥3999","","中價位"
"50","￥10000～￥14999","","頂級"
"51","￥2000～￥2999","","中價位"
"52","￥3000～￥3999"," ～￥999","中價位"
"53","￥4000～￥4999","","中價位"
"54","￥3000～￥3999","","中價位"
"55","￥3000～￥3999","￥1000～￥1999","中價位"
"56","￥3000～￥3999"," ～￥999","中價位"
"57","￥5000～￥5999","","高價位"
"58","￥4000～￥4999","￥2000～￥2999","中價位"
"59","￥5000～￥5999","","高價位"
"60","￥10000～￥14999","￥3000～￥3999","高價位"
"61","￥4000～￥4999","","中價位"
"62","￥5000～￥5999","￥1000～￥1999","中價位"
"63","￥10000～￥14999","￥4000～￥4999","高價位"
"64","￥4000～￥4999"," ～￥999","中價位"
"65","￥10000～￥14999","￥5000～￥5999","高價位"
"66","￥3000～￥3999","","中價位"
"67","￥3000～￥3999","","中價位"
"68","￥10000～￥14999","￥5000～￥5999","高價位"
"69","￥3000～￥3999","","中價位"
"70","￥2000～￥2999"," ～￥999","平價"
"71","￥10000～￥14999","￥4000～￥4999","高價位"
"72","￥2000～￥2999","","中價位"
"73","￥3000～￥3999"," ～￥999","中價位"
"74","￥4000～￥4999"," ～￥999","中價位"
"75","￥2000～￥2999","","中價位"
"76","￥3000～￥3999","","中價位"
"77","￥4000～￥4999","￥1000～￥1999","中價位"
"78","￥4000～￥4999","","中價位"
"79","￥6000～￥7999","￥2000～￥2999","中價位"
"80","￥6000～￥7999","","高價位"
"81","￥3000～￥3999","￥1000～￥1999","中價位"
"82","￥3000～￥3999","","中價位"
"83","￥10000～￥14999","","頂級"
"84","￥6000～￥7999","","高價位"
"85","￥3000～￥3999","","中價位"
"86","￥2000～￥2999"," ～￥999","平價"
"87","￥3000～￥3999","","中價位"
"88","￥2000～￥2999","","中價位"
"89","￥4000～￥4999","","中價位"
"90","￥3000～￥3999","","中價位"
"91","￥3000～￥3999","","中價位"
"92","￥6000～￥7999","","高價位"
"93","￥3000～￥3999","","中價位"
"94","￥3000～￥3999","￥1000～￥1999","中價位"
"95","￥6000～￥7999","￥1000～￥1999","中價位"
"96","￥4000～￥4999"," ～￥999","中價位"
"97","￥3000～￥3999","","中價位"
"98","￥2000～￥2999","","中價位"
"99","￥3000～￥3999","","中價位"
"100","￥4000～￥4999","","中價位"
"101","￥5000～￥5999","￥1000～￥1999","中價位"
"102","￥3000～￥3999"," ～￥999","中價位"
"103","￥2000～￥2999","￥1000～￥1999","平價"
"104","￥2000～￥2999"," ～￥999","平價"
"105","￥3000～￥3999","￥1000～￥1999","中價位"
"106","￥3000～￥3999","","中價位"
"107","￥3000～￥3999","","中價位"
"108","￥3000～￥3999","","中價位"
"109","￥3000～￥3999","￥1000～￥1999","中價位"
"110","￥3000～￥3999","￥1000～￥1999","中價位"
"111","￥3000～￥3999","￥3000～￥3999","中價位"
"112","￥3000～￥3999","","中價位"
"113","￥5000～￥5999","￥3000～￥3999","中價位"
"114","￥3000～￥3999","","中價位"
"115","￥2000～￥2999","","中價位"
"116","￥5000～￥5999","￥1000～￥1999","中價位"
"117","￥4000～￥4999","","中價位"
"118","￥8000～￥9999","￥2000～￥2999","高價位"
"119","￥3000～￥3999","￥1000～￥1999","中價位"
"120","￥5000～￥5999","","高價位"
"121","￥8000～￥9999","￥3000～￥3999","高價位"
"122","￥3000～￥3999","￥1000～￥1999","中價位"
"123","￥4000～￥4999","￥1000～￥1999","中價位"
"124","￥20000～￥29999","￥8000～￥9999","頂級"
"125","￥3000～￥3999","￥1000～￥1999","中價位"
"126","￥3000～￥3999","","中價位"
"127","￥5000～￥5999","￥4000～￥4999","中價位"
"128","￥5000～￥5999","￥1000～￥1999","中價位"
"129","￥6000～￥7999","￥2000～￥2999","中價位"
"130","￥4000～￥4999","￥1000～￥1999","中價位"
"131","￥3000～￥3999","","中價位"
"132","￥8000～￥9999","","高價位"
"133","￥4000～￥4999","￥1000～￥1999","中價位"
"134","￥3000～￥3999","","中價位"
"135","￥2000～￥2999","","中價位"
"136","￥3000～￥3999","","中價位"
"137","￥2000～￥2999","","中價位"
"138","￥6000～￥7999","￥1000～￥1999","中價位"
"139","￥3000～￥3999","","中價位"
"140","￥3000～￥3999","","中價位"
"141","￥3000～￥3999","","中價位"
"142","￥3000～￥3999","","中價位"
"143","￥2000～￥2999","","中價位"
"144","￥4000～￥4999","","中價位"
"145","￥2000～￥2999","","中價位"
"146","￥4000～￥4999","","中價位"
"147","￥3000～￥3999","","中價位"
"148","￥2000～￥2999","￥1000～￥1999","平價"
"149","￥3000～￥3999"," ～￥999","中價位"
"150","￥8000～￥9999","","高價位"
"151","￥6000～￥7999","￥2000～￥2999","中價位"
"152","￥8000～￥9999","","高價位"
"153","￥8000～￥9999","￥5000～￥5999","高價位"
"154","￥2000～￥2999","￥1000～￥1999","平價"
"155","￥3000～￥3999","","中價位"
"156","￥4000～￥4999","","中價位"
"157","￥3000～￥3999","","中價位"
"158","￥8000～￥9999","￥3000～￥3999","高價位"
"159","￥6000～￥7999","￥2000～￥2999","中價位"
"160","￥10000～￥14999","","頂級"
"161","￥3000～￥3999","￥1000～￥1999","中價位"
"162","￥5000～￥5999","","高價位"
"163","￥4000～￥4999","","中價位"
"164","￥1000～￥1999","￥1000～￥1999","平價"
"165","￥4000～￥4999","￥1000～￥1999","中價位"
"166","￥4000～￥4999","","中價位"
"167","￥3000～￥3999","","中價位"
"168","￥3000～￥3999","","中價位"
"169","￥4000～￥4999","","中價位"
"170","￥2000～￥2999","￥1000～￥1999","平價"
"171","￥3000～￥3999","","中價位"
"172","￥3000～￥3999","￥1000～￥1999","中價位"
"173","￥2000～￥2999","￥2000～￥2999","中價位"
"174","￥4000～￥4999","","中價位"
"175","￥6000～￥7999","￥3000～￥3999","高價位"
"176","￥3000～￥3999","￥1000～￥1999","中價位"
"177","￥4000～￥4999","","中價位"
"178","￥3000～￥3999","","中價位"
"179","￥2000～￥2999"," ～￥999","平價"
"180","￥3000～￥3999","","中價位"
"181"," ～￥999"," ～￥999","平價"
"182","￥6000～￥7999","","高價位"
"183","￥4000～￥4999","","中價位"
"184","￥3000～￥3999","","中價位"
"185","￥10000～￥14999","￥6000～￥7999","高價位"
"186","￥2000～￥2999","￥1000～￥1999","平價"
"187","￥3000～￥3999","","中價位"
"188","￥3000～￥3999","","中價位"
"189","￥3000～￥3999","","中價位"
"190","￥3000～￥3999"," ～￥999","中價位"
"191","￥3000～￥3999","","中價位"
"192","￥4000～￥4999","￥1000～￥1999","中價位"
"193","￥2000～￥2999","￥2000～￥2999","中價位"
"194","￥5000～￥5999","￥1000～￥1999","中價位"
"195","￥2000～￥2999","￥1000～￥1999","平價"
"196","￥5000～￥5999","￥2000～￥2999","中價位"
"197","￥3000～￥3999","￥1000～￥1999","中價位"
"198","￥3000～￥3999","","中價位"
"199","￥10000～￥14999","","頂級"
"200","￥3000～￥3999","","中價位"
"201","￥2000～￥2999","","中價位"
"202","￥4000～￥4999","￥1000～￥1999","中價位"
"203","￥2000～￥2999","￥3000～￥3999","中價位"
"204","￥3000～￥3999","","中價位"
"205","￥4000～￥4999","","中價位"
"206","￥1000～￥1999","￥1000～￥1999","平價"
"207","￥3000～￥3999"," ～￥999","中價位"
