"Restaurant_ID","TotalRating","DinnerRating","LunchRating","ReviewNum","Rating_Category"
"1","3.633333333333333","3.2","3.38","56","3~3.9 星餐廳"
"2","3.5","3.06","3.33","70","3~3.9 星餐廳"
"3","3.6666666666666665","3.28","","7","3~3.9 星餐廳"
"4","3.533333333333333","3.14","","16","3~3.9 星餐廳"
"5","3.333333333333333","3.16","3.05","23","3~3.9 星餐廳"
"6","3.533333333333333","3.0","3.11","24","3~3.9 星餐廳"
"7","3.6666666666666665","3.05","3.0","22","3~3.9 星餐廳"
"8","3.633333333333333","3.34","","23","3~3.9 星餐廳"
"9","3.5","3.04","","3","3~3.9 星餐廳"
"10","4.2","3.56","","92","4~5 星餐廳"
"11","3.6","3.04","","4","3~3.9 星餐廳"
"12","4.033333333333333","3.54","3.56","120","4~5 星餐廳"
"13","3.5","3.0","","2","3~3.9 星餐廳"
"14","4.666666666666667","3.83","3.75","39","4~5 星餐廳"
"15","3.3666666666666667","3.05","","13","3~3.9 星餐廳"
"16","3.8333333333333335","3.04","3.03","2","3~3.9 星餐廳"
"17","3.5","3.1","","19","3~3.9 星餐廳"
"18","3.433333333333333","3.1","3.06","31","3~3.9 星餐廳"
"19","3.466666666666667","3.06","","21","3~3.9 星餐廳"
"20","4.166666666666667","3.07","3.55","16","4~5 星餐廳"
"21","3.733333333333333","3.16","","18","3~3.9 星餐廳"
"22","3.533333333333333","3.06","","3","3~3.9 星餐廳"
"23","3.733333333333333","3.03","","24","3~3.9 星餐廳"
"24","4.266666666666667","3.66","3.58","46","4~5 星餐廳"
"25","3.566666666666667","3.09","","16","3~3.9 星餐廳"
"26","3.5","3.03","3.02","10","3~3.9 星餐廳"
"27","4.0","3.3","3.31","33","4~5 星餐廳"
"28","3.7","3.06","","10","3~3.9 星餐廳"
"29","3.4","3.08","","23","3~3.9 星餐廳"
"30","3.433333333333333","3.35","3.04","14","3~3.9 星餐廳"
"31","4.1","3.47","3.16","13","4~5 星餐廳"
"32","3.566666666666667","3.17","","10","3~3.9 星餐廳"
"33","3.5","3.06","","16","3~3.9 星餐廳"
"34","3.6","3.02","","26","3~3.9 星餐廳"
"35","3.4","3.03","","5","3~3.9 星餐廳"
"36","3.533333333333333","3.06","","5","3~3.9 星餐廳"
"37","3.7","3.25","","17","3~3.9 星餐廳"
"38","4.266666666666667","3.53","3.32","82","4~5 星餐廳"
"39","3.966666666666667","3.61","3.58","272","3~3.9 星餐廳"
"40","3.6666666666666665","3.04","","2","3~3.9 星餐廳"
"41","3.466666666666667","3.05","","12","3~3.9 星餐廳"
"42","3.3666666666666667","3.17","3.03","35","3~3.9 星餐廳"
"43","4.1","3.45","3.59","6","4~5 星餐廳"
"44","3.6666666666666665","3.08","","31","3~3.9 星餐廳"
"45","3.633333333333333","3.06","","1","3~3.9 星餐廳"
"46","4.2","3.3","3.51","52","4~5 星餐廳"
"47","3.3666666666666667","3.02","","20","3~3.9 星餐廳"
"48","3.566666666666667","3.09","","11","3~3.9 星餐廳"
"49","4.3","3.51","","52","4~5 星餐廳"
"50","4.133333333333334","3.47","","2","4~5 星餐廳"
"51","3.433333333333333","3.12","","25","3~3.9 星餐廳"
"52","3.566666666666667","3.04","","11","3~3.9 星餐廳"
"53","3.4","3.05","","7","3~3.9 星餐廳"
"54","4.166666666666667","3.42","","18","4~5 星餐廳"
"55","4.0","3.33","3.35","39","4~5 星餐廳"
"56","3.533333333333333","3.13","3.1","33","3~3.9 星餐廳"
"57","3.466666666666667","3.03","3.03","12","3~3.9 星餐廳"
"58","4.1","3.08","3.52","15","4~5 星餐廳"
"59","4.233333333333333","3.57","3.51","39","4~5 星餐廳"
"60","4.2","3.54","3.53","57","4~5 星餐廳"
"61","3.5","3.03","","9","3~3.9 星餐廳"
"62","4.166666666666667","3.21","3.52","44","4~5 星餐廳"
"63","3.966666666666667","3.54","3.58","30","3~3.9 星餐廳"
"64","3.533333333333333","3.04","","11","3~3.9 星餐廳"
"65","3.633333333333333","3.07","3.06","33","3~3.9 星餐廳"
"66","3.433333333333333","3.05","","4","3~3.9 星餐廳"
"67","3.533333333333333","3.08","3.06","59","3~3.9 星餐廳"
"68","4.0","3.64","3.68","252","4~5 星餐廳"
"69","3.7","3.01","3.0","27","3~3.9 星餐廳"
"70","4.3","3.51","3.56","140","4~5 星餐廳"
"71","4.166666666666667","3.32","3.45","56","4~5 星餐廳"
"72","3.733333333333333","3.14","","30","3~3.9 星餐廳"
"73","3.933333333333333","3.5","3.32","33","3~3.9 星餐廳"
"74","4.2","3.52","3.4","72","4~5 星餐廳"
"75","3.3","3.03","","15","3~3.9 星餐廳"
"76","3.433333333333333","3.04","","1","3~3.9 星餐廳"
"77","4.1","3.5","3.51","113","4~5 星餐廳"
"78","3.533333333333333","3.04","3.12","19","3~3.9 星餐廳"
"79","4.266666666666667","3.49","3.2","11","4~5 星餐廳"
"80","4.3","3.23","3.5","66","4~5 星餐廳"
"81","3.5","3.16","3.06","23","3~3.9 星餐廳"
"82","3.6","3.11","","46","3~3.9 星餐廳"
"83","3.6","3.06","","4","3~3.9 星餐廳"
"84","4.333333333333333","3.53","","13","4~5 星餐廳"
"85","3.4","3.1","","24","3~3.9 星餐廳"
"86","3.8","3.02","3.04","28","3~3.9 星餐廳"
"87","3.633333333333333","3.02","","3","3~3.9 星餐廳"
"88","3.733333333333333","3.0","","2","3~3.9 星餐廳"
"89","4.266666666666667","3.55","","44","4~5 星餐廳"
"90","3.633333333333333","3.03","","7","3~3.9 星餐廳"
"91","3.4","3.04","","8","3~3.9 星餐廳"
"92","3.566666666666667","3.1","3.05","8","3~3.9 星餐廳"
"93","3.3","3.02","","12","3~3.9 星餐廳"
"94","3.6666666666666665","3.09","3.0","20","3~3.9 星餐廳"
"95","3.4","3.05","3.2","10","3~3.9 星餐廳"
"96","3.533333333333333","3.05","3.0","14","3~3.9 星餐廳"
"97","3.466666666666667","3.07","","7","3~3.9 星餐廳"
"98","3.7","3.02","","3","3~3.9 星餐廳"
