"Restaurant_ID","Category_ID"
"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"10","10"
"11","3"
"12","11"
"13","9"
"14","12"
"15","13"
"16","14"
"17","15"
"18","16"
"19","17"
"20","18"
"21","19"
"22","20"
"23","21"
"24","22"
"25","18"
"26","23"
"27","24"
"28","25"
"29","26"
"30","27"
"31","28"
"32","29"
"33","30"
"34","10"
"35","31"
"36","32"
"37","33"
"38","34"
"39","35"
"40","32"
"41","36"
"42","8"
"43","37"
"44","8"
"45","18"
"46","38"
"47","36"
"48","39"
"49","40"
"50","41"
"51","3"
"52","18"
"53","42"
"54","18"
"55","43"
"56","8"
"57","44"
"58","1"
"59","45"
"60","46"
"61","47"
"62","48"
"63","49"
"64","50"
"65","51"
"66","47"
"67","10"
"68","37"
"69","23"
"70","52"
"71","49"
"72","53"
"73","54"
"74","3"
"75","53"
"76","55"
"77","56"
"78","3"
"79","49"
"80","49"
"81","57"
"82","45"
"83","58"
"84","59"
"85","3"
"86","35"
"87","60"
"88","61"
"89","8"
"90","18"
"91","62"
"92","63"
"93","8"
"94","64"
"95","35"
"96","65"
"97","66"
"98","67"
"99","36"
"100","68"
"101","69"
"102","18"
"103","70"
"104","38"
"105","71"
"106","32"
"107","42"
"108","32"
"109","38"
"110","72"
"111","23"
"112","73"
"113","74"
"114","10"
"115","75"
"116","32"
"117","64"
"118","76"
"119","77"
"120","78"
"121","79"
"122","80"
"123","81"
"124","82"
"125","7"
"126","62"
"127","3"
"128","46"
"129","18"
"130","34"
"131","3"
"132","83"
"133","76"
"134","23"
"135","84"
"136","7"
"137","29"
"138","85"
"139","18"
"140","10"
"141","86"
"142","87"
"143","18"
"144","88"
"145","87"
"146","89"
"147","90"
"148","91"
"149","92"
"150","93"
"151","94"
"152","95"
"153","49"
"154","96"
"155","18"
"156","23"
"157","18"
"158","46"
"159","85"
"160","97"
"161","98"
"162","99"
"163","65"
"164","100"
"165","101"
"166","18"
"167","102"
"168","103"
"169","3"
"170","104"
"171","42"
"172","105"
"173","106"
"174","107"
"175","108"
"176","109"
"177","18"
"178","8"
"179","110"
"180","111"
"181","112"
"182","113"
"183","45"
"184","6"
"185","46"
"186","67"
"187","18"
"188","114"
"189","3"
"190","47"
"191","23"
"192","18"
"193","29"
"194","99"
"195","115"
"196","49"
"197","116"
"198","103"
"199","49"
"200","17"
"201","23"
"202","117"
"203","118"
"204","99"
"205","3"
"206","96"
"207","84"
"208","23"
"209","119"
"210","48"
"211","20"
"212","49"
"213","49"
"214","46"
"215","6"
"216","18"
"217","92"
"218","4"
"219","120"
"220","18"
"221","18"
"222","121"
"223","32"
"224","12"
"225","21"
"226","10"
"227","102"
"228","42"
"229","9"
"230","122"
"231","89"
"232","48"
"233","123"
"234","32"
"235","23"
"236","124"
"237","125"
"238","3"
"239","126"
"240","127"
"241","128"
"242","129"
"243","130"
"244","64"
"245","77"
"246","3"
"247","131"
"248","63"
"249","54"
"250","99"
"251","71"
"252","102"
"253","132"
"254","45"
"255","49"
"256","32"
"257","133"
"258","34"
"259","38"
"260","67"
"261","134"
"262","135"
"263","136"
"264","137"
"265","18"
"266","45"
"267","16"
"268","138"
"269","139"
"270","16"
"271","140"
"272","37"
"273","141"
"274","6"
"275","18"
"276","21"
"277","67"
"278","23"
"279","18"
"280","8"
"281","18"
"282","117"
"283","45"
"284","136"
"285","142"
"286","17"
"287","143"
"288","10"
"289","144"
"290","145"
"291","61"
"292","146"
"293","18"
"294","17"
"295","84"
"296","147"
"297","63"
"298","148"
"299","149"
"300","46"
"301","122"
"302","150"
"303","151"
"304","142"
"305","152"
"306","42"
"307","18"
"308","111"
"309","18"
"310","18"
"311","153"
"312","154"
"313","7"
"314","155"
"315","18"
"316","32"
"317","18"
"318","106"
"319","23"
"320","94"
"321","35"
"322","18"
"323","49"
"324","156"
"325","4"
"326","18"
"327","3"
"328","157"
"329","158"
"330","18"
"331","159"
"332","23"
"333","160"
"334","69"
"335","161"
"336","7"
"337","38"
"338","162"
"339","18"
"340","163"
"341","54"
"342","142"
"343","164"
"344","23"
"345","165"
"346","166"
"347","167"
"348","23"
"349","130"
"350","49"
"351","168"
"352","169"
"353","170"
"354","130"
"355","18"
"356","32"
"357","171"
"358","172"
"359","172"
"360","173"
"361","174"
"362","45"
"363","175"
"364","3"
"365","49"
"366","176"
"367","32"
"368","177"
"369","178"
"370","179"
"371","180"
"372","64"
"373","29"
"374","10"
